model,format,role,condition,context,value,v_idx,ground_truth,raw_output,numeric,category,hybrid_consistent
3B,hybrid,zero_shot,hybrid__zero_shot,Temp,36,1,1,2 - Normal,2.0,2.0,True
3B,hybrid,zero_shot,hybrid__zero_shot,Temp,37,2,2,2 - Normal,2.0,2.0,True
3B,hybrid,zero_shot,hybrid__zero_shot,Temp,38,3,3,3 - Mild High,3.0,3.0,True
3B,hybrid,zero_shot,hybrid__zero_shot,Temp,39,4,4,3 - High,3.0,4.0,False
3B,hybrid,zero_shot,hybrid__zero_shot,Temp,41,5,5,3 - Mild High,3.0,3.0,True
3B,hybrid,role_prompting,hybrid__role_prompting,Glucose,40,0,0,2 - Low Normal,2.0,1.0,False
3B,hybrid,role_prompting,hybrid__role_prompting,Glucose,70,1,1,2 - Low Normal,2.0,1.0,False
3B,hybrid,role_prompting,hybrid__role_prompting,Glucose,90,2,2,2 - Normal,2.0,2.0,True
3B,hybrid,role_prompting,hybrid__role_prompting,Glucose,180,3,3,3 - Mild High,3.0,3.0,True
3B,hybrid,role_prompting,hybrid__role_prompting,Glucose,300,4,4,3 - High,3.0,4.0,False
3B,hybrid,role_prompting,hybrid__role_prompting,Glucose,500,5,5,3 - Critically High,3.0,5.0,False
3B,hybrid,role_prompting,hybrid__role_prompting,HbA1c,4.0,0,0,3 - Low,3.0,,
3B,hybrid,role_prompting,hybrid__role_prompting,HbA1c,5.0,1,1,3 - Normal,3.0,2.0,False
3B,hybrid,role_prompting,hybrid__role_prompting,HbA1c,5.6,2,2,3 - Normal,3.0,2.0,False
3B,hybrid,role_prompting,hybrid__role_prompting,HbA1c,6.5,3,3,3 - Mild High,3.0,3.0,True
3B,hybrid,role_prompting,hybrid__role_prompting,HbA1c,9.0,4,4,3 - Mild High,3.0,3.0,True
3B,hybrid,role_prompting,hybrid__role_prompting,HbA1c,14.0,5,5,3 - High,3.0,4.0,False
3B,hybrid,role_prompting,hybrid__role_prompting,Insulin,2,0,0,2 - Normal,2.0,2.0,True
3B,hybrid,role_prompting,hybrid__role_prompting,Insulin,5,1,1,3 - Low,3.0,,
3B,hybrid,role_prompting,hybrid__role_prompting,Insulin,10,2,2,3 - Low Normal,3.0,1.0,False
3B,hybrid,role_prompting,hybrid__role_prompting,Insulin,25,3,3,3 - Low Normal,3.0,1.0,False
3B,hybrid,role_prompting,hybrid__role_prompting,Insulin,60,4,4,3 - Low Normal,3.0,1.0,False
3B,hybrid,role_prompting,hybrid__role_prompting,Insulin,120,5,5,3 - Normal,3.0,2.0,False
3B,hybrid,role_prompting,hybrid__role_prompting,TG,50,0,0,3 - Low,3.0,,
3B,hybrid,role_prompting,hybrid__role_prompting,TG,100,1,1,3 - Normal,3.0,2.0,False
3B,hybrid,role_prompting,hybrid__role_prompting,TG,150,2,2,3 - Mild High,3.0,3.0,True
3B,hybrid,role_prompting,hybrid__role_prompting,TG,250,3,3,3 - Mild High,3.0,3.0,True
3B,hybrid,role_prompting,hybrid__role_prompting,TG,500,4,4,3 - Mild High,3.0,3.0,True
3B,hybrid,role_prompting,hybrid__role_prompting,TG,1000,5,5,3 - Mild High,3.0,3.0,True
3B,hybrid,role_prompting,hybrid__role_prompting,Creatinine,0.4,0,0,2 - Normal,2.0,2.0,True
3B,hybrid,role_prompting,hybrid__role_prompting,Creatinine,0.7,1,1,2 - Normal,2.0,2.0,True
3B,hybrid,role_prompting,hybrid__role_prompting,Creatinine,1.0,2,2,2 - Normal,2.0,2.0,True
3B,hybrid,role_prompting,hybrid__role_prompting,Creatinine,1.5,3,3,3 - Mild High,3.0,3.0,True
3B,hybrid,role_prompting,hybrid__role_prompting,Creatinine,3.0,4,4,3 - High,3.0,4.0,False
3B,hybrid,role_prompting,hybrid__role_prompting,Creatinine,8.0,5,5,3 - High,3.0,4.0,False
3B,hybrid,role_prompting,hybrid__role_prompting,BP,60,0,0,2 - Low Normal,2.0,1.0,False
3B,hybrid,role_prompting,hybrid__role_prompting,BP,90,1,1,2 - Normal,2.0,2.0,True
3B,hybrid,role_prompting,hybrid__role_prompting,BP,120,2,2,2 - Normal,2.0,2.0,True
3B,hybrid,role_prompting,hybrid__role_prompting,BP,140,3,3,3 - Mild High,3.0,3.0,True
3B,hybrid,role_prompting,hybrid__role_prompting,BP,180,4,4,3 - High,3.0,4.0,False
3B,hybrid,role_prompting,hybrid__role_prompting,BP,220,5,5,3 - High,3.0,4.0,False
3B,hybrid,role_prompting,hybrid__role_prompting,HR,30,0,0,2 - Normal,2.0,2.0,True
3B,hybrid,role_prompting,hybrid__role_prompting,HR,50,1,1,2 - Normal,2.0,2.0,True
3B,hybrid,role_prompting,hybrid__role_prompting,HR,72,2,2,2 - Normal,2.0,2.0,True
3B,hybrid,role_prompting,hybrid__role_prompting,HR,100,3,3,3 - Normal,3.0,2.0,False
3B,hybrid,role_prompting,hybrid__role_prompting,HR,140,4,4,3 - Mild High,3.0,3.0,True
3B,hybrid,role_prompting,hybrid__role_prompting,HR,180,5,5,3 - High,3.0,4.0,False
3B,hybrid,role_prompting,hybrid__role_prompting,Temp,34,0,0,2 - Normal,2.0,2.0,True
3B,hybrid,role_prompting,hybrid__role_prompting,Temp,36,1,1,2 - Normal,2.0,2.0,True
3B,hybrid,role_prompting,hybrid__role_prompting,Temp,37,2,2,2 - Normal,2.0,2.0,True
3B,hybrid,role_prompting,hybrid__role_prompting,Temp,38,3,3,3 - High,3.0,4.0,False
3B,hybrid,role_prompting,hybrid__role_prompting,Temp,39,4,4,3 - High,3.0,4.0,False
3B,hybrid,role_prompting,hybrid__role_prompting,Temp,41,5,5,3 - High,3.0,4.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,Glucose,40,0,0,3 - Low,3.0,,
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,Glucose,70,1,1,3 - Low Normal,3.0,1.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,Glucose,90,2,2,3 - Low Normal,3.0,1.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,Glucose,180,3,3,3 - Mild High,3.0,3.0,True
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,Glucose,300,4,4,3 - High,3.0,4.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,Glucose,500,5,5,3 - Critically High,3.0,5.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,HbA1c,4.0,0,0,4 - Normal,4.0,2.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,HbA1c,5.0,1,1,3 - Normal,3.0,2.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,HbA1c,5.6,2,2,3 - Normal,3.0,2.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,HbA1c,6.5,3,3,3 - Normal,3.0,2.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,HbA1c,9.0,4,4,3 - Normal,3.0,2.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,HbA1c,14.0,5,5,3 - High,3.0,4.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,Insulin,2,0,0,2 - Normal,2.0,2.0,True
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,Insulin,5,1,1,3 - Normal,3.0,2.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,Insulin,10,2,2,3 - Normal,3.0,2.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,Insulin,25,3,3,3 - Normal,3.0,2.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,Insulin,60,4,4,3 - Normal,3.0,2.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,Insulin,120,5,5,3 - Normal,3.0,2.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,TG,50,0,0,3 - Normal,3.0,2.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,TG,100,1,1,3 - Normal,3.0,2.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,TG,150,2,2,3 - Normal,3.0,2.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,TG,250,3,3,3 - Mild High,3.0,3.0,True
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,TG,500,4,4,3 - Mild High,3.0,3.0,True
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,TG,1000,5,5,3 - Mild High,3.0,3.0,True
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,Creatinine,0.4,0,0,2 - Normal,2.0,2.0,True
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,Creatinine,0.7,1,1,3 - Normal,3.0,2.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,Creatinine,1.0,2,2,3 - Normal,3.0,2.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,Creatinine,1.5,3,3,3 - Normal,3.0,2.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,Creatinine,3.0,4,4,3 - High,3.0,4.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,Creatinine,8.0,5,5,3 - Mild High,3.0,3.0,True
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,BP,60,0,0,3 - Low,3.0,,
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,BP,90,1,1,3 - Low,3.0,,
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,BP,120,2,2,3 - Normal,3.0,2.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,BP,140,3,3,3 - Normal,3.0,2.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,BP,180,4,4,3 - High,3.0,4.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,BP,220,5,5,3 - High,3.0,4.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,HR,30,0,0,3 - Low,3.0,,
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,HR,50,1,1,3 - Low,3.0,,
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,HR,72,2,2,3 - Normal,3.0,2.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,HR,100,3,3,3 - Normal,3.0,2.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,HR,140,4,4,3 - High,3.0,4.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,HR,180,5,5,3 - High,3.0,4.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,Temp,34,0,0,3 - Low,3.0,,
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,Temp,36,1,1,3 - Normal,3.0,2.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,Temp,37,2,2,2 - Normal,2.0,2.0,True
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,Temp,38,3,3,3 - High,3.0,4.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,Temp,39,4,4,3 - High,3.0,4.0,False
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,Temp,41,5,5,3 - Mild High,3.0,3.0,True
